date_iso,date_human,title,company,location,apply,source,department
2025-08-13,"Aug 13, 2025","Senior Software Engineer, Ads Experience (Fullstack)",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7052500?gh_jid=7052500,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Software Engineer - UGC, Creator Platform",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7129333?gh_jid=7129333,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Software Engineer - Site Reliability ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7022859?gh_jid=7022859,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Social Media Strategist - Social Listening Programs,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7132974?gh_jid=7132974,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Product Manager - P2P Payments ,coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7166935?gh_jid=7166935,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Product Manager - Exchange,coinbase,Remote - USA,https://www.coinbase.com/careers/positions/6979056?gh_jid=6979056,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Product Designer, Player Experience",discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/7963431002,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Network Operations Engineer,roblox,"Ashburn, Virginia, United States",https://careers.roblox.com/jobs/7074897?gh_jid=7074897,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Machine Learning Engineer, GenAI 3D",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7075638?gh_jid=7075638,greenhouse,
2025-08-13,"Aug 13, 2025",Senior GRC Analyst ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6470157?gh_jid=6470157,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Game Designer, Platform Events - LiveOps",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7129036?gh_jid=7129036,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Frontend Software Engineer, Open Platform & AI Enablement",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6942831?gh_jid=6942831,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Frontend Software Engineer - Productivity Platforms and Ecosystems,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7082757?gh_jid=7082757,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Frontend Engineer, UI Ecosystem",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7118363?gh_jid=7118363,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Enterprise Security Engineer,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7095750?gh_jid=7095750,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Engineering Manager - Marketplace Shopping,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6732243?gh_jid=6732243,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Engineering Manager - Avatar,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6852525?gh_jid=6852525,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Engineering Manager - AI Enablement ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6872784?gh_jid=6872784,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Copywriter,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7114295?gh_jid=7114295,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Art Director,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6936474?gh_jid=6936474,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Art Director,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7114347?gh_jid=7114347,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Application Security Engineer,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7054468?gh_jid=7054468,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Android Engineer,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7058840?gh_jid=7058840,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Analyst, Vendor Assurance and Compliance ",roblox,"Gurugram, Haryana, India",https://careers.roblox.com/jobs/6926176?gh_jid=6926176,greenhouse,
