date_iso,date_human,title,company,location,apply,source,department
2025-09-25,"Sep 25, 2025","SMB Account Manager, Food and Beverage",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4917098008?gh_jid=4917098008,greenhouse,
2025-09-25,"Sep 25, 2025",Senior UX Researcher - Banking,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4774214008?gh_jid=4774214008,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Systems Engineer- Oracle Core Financials,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4700370008?gh_jid=4700370008,greenhouse,
2025-09-25,"Sep 25, 2025","Senior Strategic Account Director, Food & Beverage",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4817349008?gh_jid=4817349008,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Software Engineering Program Manager - Hardware,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4904543008?gh_jid=4904543008,greenhouse,
2025-09-25,"Sep 25, 2025","Senior Software Engineer, Growth Monetization Web",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4886865008?gh_jid=4886865008,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Software Engineer – Data Products,roblox,"Gurugram, Haryana, India",https://careers.roblox.com/jobs/7142522?gh_jid=7142522,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Software Engineer - Product Engineering,roblox,"Gurugram, Haryana, India",https://careers.roblox.com/jobs/7244942?gh_jid=7244942,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Software Engineer - Creator Performance Tools (C++),roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7272758?gh_jid=7272758,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Security Governance Partner,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4866530008?gh_jid=4866530008,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Sales Account Executive,block,"Melbourne, Australia",http://block.xyz/careers/jobs/4933633008?gh_jid=4933633008,greenhouse,
2025-09-25,"Sep 25, 2025","Senior Product Designer, Japan",block,"Tokyo, Japan",http://block.xyz/careers/jobs/4825745008?gh_jid=4825745008,greenhouse,
2025-09-25,"Sep 25, 2025",Senior Marketing Manager - Co-marketing,block,"Sydney, Australia",http://block.xyz/careers/jobs/4884110008?gh_jid=4884110008,greenhouse,
2025-09-25,"Sep 25, 2025","Senior Manager, Field Sales",block,"Vancouver, British Columbia, Canada",http://block.xyz/careers/jobs/4805191008?gh_jid=4805191008,greenhouse,
2025-09-25,"Sep 25, 2025","Senior Manager of Policy Communications, Middle East",roblox,Remote,https://careers.roblox.com/jobs/7271101?gh_jid=7271101,greenhouse,
